account_rewards,date
-4042672.9307601,2012-01-09
-8401.847095700712,2012-01-10
4987.028469699223,2012-01-11
-29165.36645630185,2012-01-12
-37876.501343099706,2012-01-13
44049.66798359984,2012-01-16
-44048.0066477988,2012-01-17
22129.147218300386,2012-01-18
16390.588290198113,2012-01-19
-18619.42333049995,2012-01-20
4582.058514598845,2012-01-30
-13852.935420100885,2012-01-31
20080.976146002868,2012-02-01
5187.106712898938,2012-02-02
6092.981940000621,2012-02-03
-21154.640829399228,2012-02-06
31134.599508299496,2012-02-07
4437.18505589705,2012-02-08
1672.10366429877,2012-02-09
6063.399287199575,2012-02-10
-3881.477776499217,2012-02-13
11194.968184500374,2012-02-14
-2386.652754697883,2012-02-15
-5137.989541201228,2012-02-16
899.0433197026014,2012-02-17
11860.559759799677,2012-02-20
17339.198526799628,2012-02-21
547.1167206008357,2012-02-22
15547.982816600314,2012-02-23
10869.350315800228,2012-02-24
1287.1896936008382,2012-02-27
-23695.321319102386,2012-02-28
-13847.34484410179,2012-02-29
34037.84723230235,2012-03-01
-21712.884942199762,2012-03-02
-41131.758381499334,2012-03-05
-21354.003654301396,2012-03-06
42544.40391600068,2012-03-07
32967.226307399695,2012-03-08
-6134.302069199007,2012-03-09
20157.9401978992,2012-03-12
-66691.45381380028,2012-03-13
-6776.566468800455,2012-03-14
65246.12251849933,2012-03-15
-9773.480853697962,2012-03-16
-54379.4289262015,2012-03-19
-13106.144543799384,2012-03-20
-25112.86400160109,2012-03-21
-45163.27330080057,2012-03-22
35485.183748600626,2012-03-23
-14482.820187102672,2012-03-26
-92757.34221709942,2012-03-27
-31975.97536779929,2012-03-28
646.2719270992757,2012-03-29
99871.46489419964,2012-03-30
5429.69887079981,2012-04-05
-10670.803699598646,2012-04-06
15166.515085498293,2012-04-09
57758.455208401385,2012-04-10
25631.907412401444,2012-04-12
-28459.268953601164,2012-04-13
-55750.483225899414,2012-04-16
73950.31169190124,2012-04-17
-40812.631386899775,2012-04-18
31617.455496702154,2012-04-19
-35837.150985502376,2012-04-20
-29977.68945569876,2012-04-23
46026.79089680122,2012-04-24
5223.417783998372,2012-04-25
45719.04636739775,2012-04-26
132591.95642170103,2012-04-27
15787.403816902011,2012-05-02
-240179.66704350073,2012-05-03
25624.362687898894,2012-05-04
-744.6807660990733,2012-05-07
-79374.4813114011,2012-05-08
34439.70483749977,2012-05-09
-23213.927809098983,2012-05-10
-25238.321624800803,2012-05-11
1220.0013177015128,2012-05-14
-42055.47617110017,2012-05-15
46447.747326301374,2012-05-16
-53053.94481370239,2012-05-17
46556.6350499012,2012-05-18
43188.441780200556,2012-05-21
22130.45875540226,2012-05-22
-37649.06931870102,2012-05-23
-52137.50533970046,2012-05-24
70662.44132250024,2012-05-25
21627.495887501216,2012-05-28
-27105.186754199232,2012-05-29
1157.2556948008057,2012-05-30
27019.314719301045,2012-05-31
-84926.80525600069,2012-06-01
11206.475797802586,2012-06-04
-6627.618357100486,2012-06-05
-21135.19944740225,2012-06-06
-16323.988871598891,2012-06-07
65574.13780159916,2012-06-08
-108358.65127789833,2012-06-11
58838.45355570066,2012-06-12
-10700.814285698627,2012-06-13
-21367.44378930012,2012-06-14
-4704.978885500991,2012-06-15
-7763.191823400407,2012-06-18
-45348.62567909947,2012-06-19
-38440.27557049848,2012-06-20
-55461.89159199931,2012-06-21
-121282.5764739014,2012-06-25
-18467.24821559858,2012-06-26
-23915.46347649946,2012-06-27
56880.5663312982,2012-06-28
82232.40873519992,2012-06-29
-10816.516953201506,2012-07-02
-9976.612094198108,2012-07-03
-12364.504983601144,2012-07-04
94592.92187730047,2012-07-05
-23966.674078899825,2012-07-06
-49415.34376040119,2012-07-09
105754.52262010034,2012-07-10
12963.98282820086,2012-07-11
34758.37447040012,2012-07-12
-115415.23073720117,2012-07-13
-53347.64173319913,2012-07-16
-67025.60795400017,2012-07-17
33833.363921500386,2012-07-18
-51445.83252959908,2012-07-19
-40000.98417480092,2012-07-20
45061.091447799925,2012-07-23
-38730.97857339809,2012-07-24
-82353.78444870032,2012-07-25
-51799.618131601295,2012-07-26
-38637.658511398884,2012-07-27
-20086.958467601682,2012-07-30
36589.58976590122,2012-07-31
5250.3250397010615,2012-08-01
41851.775637001185,2012-08-02
85911.94855999651,2012-08-03
8748.542248002876,2012-08-06
-67541.70483120004,2012-08-07
115584.23981040098,2012-08-08
-106403.73580930165,2012-08-09
-80994.87374229959,2012-08-10
-18448.566730200226,2012-08-13
-67024.4521710996,2012-08-14
-62848.89036350225,2012-08-15
-68043.55368479762,2012-08-16
-29140.9403220017,2012-08-17
42959.55696990076,2012-08-20
-95893.82382369875,2012-08-21
-8859.618884201775,2012-08-22
-17912.08385079861,2012-08-23
-117812.53469080255,2012-08-24
17835.97980360231,2012-08-27
-60458.361867299885,2012-08-28
-60228.06049999944,2012-08-29
-22911.403674598525,2012-08-30
86806.03437159823,2012-08-31
-27242.383077199756,2012-09-03
17780.41879539982,2012-09-04
-7205.0233124003835,2012-09-05
230707.53430160152,2012-09-06
-10483.72662550259,2012-09-07
-34957.448266698855,2012-09-10
4182.526514300236,2012-09-11
-30093.70938829838,2012-09-12
-2017.0092729015023,2012-09-13
-174245.65863579971,2012-09-14
-6722.015153399834,2012-09-17
78410.41944530109,2012-09-18
-127797.80035240224,2012-09-19
22169.435745298484,2012-09-20
62326.81431090305,2012-09-21
-4885.472151501734,2012-09-24
-57798.0393046992,2012-09-25
121290.9867604004,2012-09-26
74860.22463379946,2012-09-27
-41501.00221739828,2012-09-28
121092.06489859849,2012-10-08
-52222.98741700363,2012-10-09
-77788.96918160019,2012-10-10
-15129.647316796485,2012-10-11
-8026.409141398604,2012-10-12
24748.18337409739,2012-10-15
-8569.890564298552,2012-10-16
99936.44847379904,2012-10-17
-20163.40337169763,2012-10-18
16016.340302698025,2012-10-19
-160486.64053329904,2012-10-22
-85773.5452343998,2012-10-23
-33342.52120799946,2012-10-24
-84508.17399860012,2012-10-25
-39434.26673719974,2012-10-26
-24347.811336100796,2012-10-29
23459.658953401573,2012-10-30
135866.39960659717,2012-10-31
13430.425627001607,2012-11-01
-3585.5510365001774,2012-11-02
33925.56476830056,2012-11-05
16386.27836749782,2012-11-06
-48651.85343320036,2012-11-07
-42823.64109579867,2012-11-08
-31896.718978396995,2012-11-09
-54290.53094450249,2012-11-12
-14159.043121500923,2012-11-13
-33965.75419819831,2012-11-14
-29754.16340070051,2012-11-15
-60209.40967890038,2012-11-16
-39503.32676570043,2012-11-19
47735.51431210115,2012-11-20
-63082.05668839895,2012-11-21
34666.10911389818,2012-11-22
-41178.24439009949,2012-11-23
-133434.39676589964,2012-11-26
-76891.28898939985,2012-11-27
-32871.18525770041,2012-11-28
99002.94422099863,2012-11-29
-85471.6483714995,2012-11-30
30680.555584702437,2012-12-03
159016.68510879835,2012-12-04
-73741.3917275994,2012-12-05
85489.55535920047,2012-12-06
-10721.7734742005,2012-12-07
-54202.34046620102,2012-12-10
1849.3746832981733,2012-12-11
-37998.721971596904,2012-12-12
183595.09532180178,2012-12-13
