account_rewards,date
-4364315.5116446,2012-01-09
-10318.03808709979,2012-01-10
11988.760672800243,2012-01-11
-45344.09354409981,2012-01-12
-152427.3202379983,2012-01-13
142733.7845202986,2012-01-16
-113676.00727669957,2012-01-17
89128.68341970089,2012-01-18
107749.02385999888,2012-01-19
-89246.52470310079,2012-01-20
23132.17945249906,2012-01-30
-67343.50692179648,2012-01-31
59025.64416149782,2012-02-01
-8275.904042299104,2012-02-02
18264.182169000876,2012-02-03
-96205.04094530181,2012-02-06
139192.5020742013,2012-02-07
-23799.883126802135,2012-02-08
-23500.424784297622,2012-02-09
-21201.790945702825,2012-02-10
-38456.417019798755,2012-02-13
14842.122700400025,2012-02-14
-57479.24239999832,2012-02-15
-57133.76080000109,2012-02-16
-56948.94279999983,2012-02-17
-34277.981200001086,2012-02-20
19796.680400000765,2012-02-21
-31271.05559999945,2012-02-22
-3267.479599999636,2012-02-23
26164.692000000785,2012-02-24
-29214.758800001793,2012-02-27
-118765.9415999998,2012-02-28
-94404.06920000113,2012-02-29
44824.324000001565,2012-03-01
-84985.49520000194,2012-03-02
-146852.68000000052,2012-03-05
-114955.72639999852,2012-03-06
93712.47119999926,2012-03-07
57815.790800000024,2012-03-08
-36216.31680000022,2012-03-09
-40225.66119999867,2012-03-12
-160216.80719999943,2012-03-13
-59840.033999999374,2012-03-14
118140.83719999892,2012-03-15
-8745.64719999866,2012-03-16
-173018.05120000246,2012-03-19
-100813.80399999974,2012-03-20
-139005.88639999786,2012-03-21
-116285.83719999997,2012-03-22
2847.5515999963764,2012-03-23
12193.464800002484,2012-03-26
-273649.0960000009,2012-03-27
-92871.61679999993,2012-03-28
-47861.85439999834,2012-03-29
174260.77279999942,2012-03-30
-83372.23520000206,2012-04-05
-93528.1627999993,2012-04-06
-55870.24120000012,2012-04-09
37454.270000000775,2012-04-10
6654.977600002085,2012-04-12
-133535.75519999876,2012-04-13
-140340.07480000373,2012-04-16
34271.34200000122,2012-04-17
-79606.92439999849,2012-04-18
-11742.262400001124,2012-04-19
-116317.32480000166,2012-04-20
-112238.92519999814,2012-04-23
44056.74559999805,2012-04-24
-95462.53960000043,2012-04-25
-29049.61959999999,2012-04-26
177014.70120000263,2012-04-27
-68667.6604000008,2012-05-02
-681480.7352000023,2012-05-03
-10375.943199997395,2012-05-04
-33192.49760000145,2012-05-07
-187071.18240000043,2012-05-08
14366.024400004026,2012-05-09
-102237.0524000012,2012-05-10
-60590.43439999981,2012-05-11
-59320.44360000288,2012-05-14
-100973.48359999906,2012-05-15
14456.595999997247,2012-05-16
-141177.795599997,2012-05-17
17288.687999998754,2012-05-18
12194.489200002676,2012-05-21
-16063.256800001302,2012-05-22
-112752.00000000154,2012-05-23
-136603.65039999993,2012-05-24
100469.35520000043,2012-05-25
-37382.25719999791,2012-05-28
-96838.62000000251,2012-05-29
-64741.119199999135,2012-05-30
17080.6599999973,2012-05-31
-165909.99519999576,2012-06-01
-27284.66240000118,2012-06-04
-84967.5088000003,2012-06-05
-102691.98480000033,2012-06-06
-115649.84639999986,2012-06-07
101065.57800000333,2012-06-08
28220.565199996512,2012-06-11
7291.4572000007465,2012-06-12
-107048.63920000126,2012-06-13
-105084.95679999926,2012-06-14
-68500.71479999924,2012-06-15
-66060.67280000019,2012-06-18
-186917.2148000008,2012-06-19
-132787.98039999855,2012-06-20
-134966.67840000015,2012-06-21
-127447.96760000095,2012-06-25
-105574.77440000117,2012-06-26
-106837.05039999756,2012-06-27
25400.773999999637,2012-06-28
110700.655599998,2012-06-29
-91543.55039999944,2012-07-02
-60343.052399997934,2012-07-03
-77260.48360000085,2012-07-04
100434.18199999853,2012-07-05
-33538.09879999993,2012-07-06
-154588.54719999735,2012-07-09
150577.9355999978,2012-07-10
-10376.322399998322,2012-07-11
-38574.449600002124,2012-07-12
-186950.70439999775,2012-07-13
-143334.8496000014,2012-07-16
-134735.31000000093,2012-07-17
-12949.497199999336,2012-07-18
-123001.21039999877,2012-07-19
-110475.31000000284,2012-07-20
-18784.933599997796,2012-07-23
-105606.35759999871,2012-07-24
-157774.40240000145,2012-07-25
-149576.7355999997,2012-07-26
-104623.87960000061,2012-07-27
-53844.22640000028,2012-07-30
24965.437199998723,2012-07-31
-12802.464799997942,2012-08-01
2227.996799999859,2012-08-02
55274.51839999797,2012-08-03
-57731.756799997645,2012-08-06
-167242.17119999768,2012-08-07
78522.84239999871,2012-08-08
-122687.89760000187,2012-08-09
-170141.8651999984,2012-08-10
-94612.92920000148,2012-08-13
-148077.75799999913,2012-08-14
-107053.97320000322,2012-08-15
-89857.5507999993,2012-08-16
-89421.34239999892,2012-08-17
-6291.64959999746,2012-08-20
-157504.66560000132,2012-08-21
-41223.181600000375,2012-08-22
-81402.35079999822,2012-08-23
-198099.97840000116,2012-08-24
-37836.83840000094,2012-08-27
-119268.89359999767,2012-08-28
-116439.89760000339,2012-08-29
-83528.53799999719,2012-08-30
34415.37359999989,2012-08-31
-87718.93639999907,2012-09-03
-5763.8096000024925,2012-09-04
-29626.628400000118,2012-09-05
223534.6064000004,2012-09-06
-61677.6876000015,2012-09-07
-85211.75439999938,2012-09-10
-57103.47160000119,2012-09-11
-110131.20599999867,2012-09-12
-39104.426399999036,2012-09-13
-262973.30440000026,2012-09-14
-77352.36079999937,2012-09-17
67025.19439999858,2012-09-18
-214884.97319999844,2012-09-19
-28128.871600002938,2012-09-20
-769.249599995541,2012-09-21
-66086.67720000392,2012-09-24
-103721.13479999933,2012-09-25
75903.48920000151,2012-09-26
62373.80799999916,2012-09-27
-93164.6635999971,2012-09-28
94903.76199999485,2012-10-08
-74847.92559999929,2012-10-09
-136581.2212000004,2012-10-10
-66399.76479999875,2012-10-11
-57846.334399999105,2012-10-12
-27439.577600001572,2012-10-15
-60604.620399999745,2012-10-16
48692.75240000068,2012-10-17
-93274.10879999805,2012-10-18
-48354.930000002685,2012-10-19
-215645.4103999982,2012-10-22
-152332.5024000007,2012-10-23
-80560.15639999867,2012-10-24
-153621.75160000141,2012-10-25
-86864.5627999999,2012-10-26
-76130.41480000074,2012-10-29
-17467.383599997316,2012-10-30
90668.2803999987,2012-10-31
-32409.607200002094,2012-11-01
-48683.07479999651,2012-11-02
-20973.44400000474,2012-11-05
-46741.653599998164,2012-11-06
-120855.1387999995,2012-11-07
-94198.78920000093,2012-11-08
-92660.06919999814,2012-11-09
-129171.63440000224,2012-11-12
-46000.67999999948,2012-11-13
-106363.66240000069,2012-11-14
-81767.88519999974,2012-11-15
-110903.98280000214,2012-11-16
-96008.24439999613,2012-11-19
-4083.8824000001705,2012-11-20
-130044.06240000004,2012-11-21
5188.4624000004815,2012-11-22
-81644.30760000089,2012-11-23
-201169.51039999884,2012-11-26
-149652.8616000008,2012-11-27
-78223.56719999944,2012-11-28
65072.85079999648,2012-11-29
-115072.99079999799,2012-11-30
-3942.143999998768,2012-12-03
152882.2028000002,2012-12-04
-113339.65040000058,2012-12-05
41158.66520000043,2012-12-06
-44514.937999998765,2012-12-07
-101438.46520000398,2012-12-10
-56224.653199999244,2012-12-11
-101414.8195999985,2012-12-12
162119.4952000024,2012-12-13
-87562.27200000209,2012-12-14
-55712.03039999922,2012-12-17
-42307.20400000339,2012-12-18
-3846.7715999974234,2012-12-19
-11784.764400001599,2012-12-20
41884.276400001785,2012-12-21
36675.70799999798,2012-12-24
-40178.3919999972,2012-12-25
-78561.1632000027,2012-12-26
31034.792400001348,2012-12-27
90429.15520000152,2012-12-28
-184150.12080000233,2012-12-31
-63116.15279999701,2013-01-04
-39976.97160000197,2013-01-07
-99795.2652000006,2013-01-08
-50080.94559999902,2013-01-09
-165092.15479999917,2013-01-10
173456.73199999932,2013-01-11
-8035.701199999699,2013-01-14
-119430.3592000002,2013-01-15
-104467.87079999986,2013-01-16
102824.0504000008,2013-01-17
-75251.70320000337,2013-01-18
-172293.26319999815,2013-01-21
4184.854800001121,2013-01-22
-183188.776799999,2013-01-23
29710.68479999614,2013-01-24
103909.33560000182,2013-01-25
-57097.08439999907,2013-01-28
-144247.4640000019,2013-01-29
-122360.27239999734,2013-01-30
-5503.948800001265,2013-01-31
-118440.85600000025,2013-02-01
-1302.804000000192,2013-02-04
-42190.23519999896,2013-02-05
-22968.84559999995,2013-02-06
94405.73079999747,2013-02-07
-112792.69319999774,2013-02-08
-157891.71280000007,2013-02-18
67218.72879999982,2013-02-19
-270203.6955999996,2013-02-20
-114113.15840000159,2013-02-21
-39522.58759999914,2013-02-22
-102520.44440000027,2013-02-25
-95988.13519999992,2013-02-26
85538.33120000029,2013-02-27
-18996.43000000081,2013-02-28
-291474.23639999947,2013-03-01
93281.10279999915,2013-03-04
3273.465200000701,2013-03-05
-217128.65519999727,2013-03-06
-136587.95160000402,2013-03-07
-89677.07439999879,2013-03-08
-171882.29640000267,2013-03-11
-147665.57640000095,2013-03-12
50108.06240000478,2013-03-13
-67624.70160000148,2013-03-14
-134734.04280000084,2013-03-15
-102366.45040000118,2013-03-18
156917.00400000333,2013-03-19
-31923.71000000149,2013-03-20
-17209.30639999939,2013-03-21
-83424.96799999892,2013-03-22
-125317.79640000199,2013-03-25
32692.474800001764,2013-03-26
-217879.95960000152,2013-03-27
-107154.90679999751,2013-03-28
-113265.03719999996,2013-03-29
-216878.64280000134,2013-04-01
-109013.49319999813,2013-04-02
-59207.74040000306,2013-04-03
-13998.946799999403,2013-04-08
-114641.20760000178,2013-04-09
-75169.4000000007,2013-04-10
-125157.78199999889,2013-04-11
-119928.79359999894,2013-04-12
-43072.88999999847,2013-04-15
40499.461999998915,2013-04-16
-75903.13640000294,2013-04-17
61848.984800000806,2013-04-18
-80955.15599999897,2013-04-19
-180474.97400000112,2013-04-22
61439.27160000042,2013-04-23
-103015.96119999969,2013-04-24
-93552.41799999938,2013-04-25
-133778.19360000038,2013-04-26
30513.215200001956,2013-05-02
13481.424000001043,2013-05-03
-48496.52560000283,2013-05-06
6920.362400000198,2013-05-07
-134171.36879999805,2013-05-08
5368.181599999983,2013-05-09
-133586.48160000154,2013-05-10
-166791.86919999836,2013-05-13
-46247.71040000175,2013-05-14
17684.516800000285,2013-05-15
5067.9299999978475,2013-05-16
-98442.5888000001,2013-05-17
-64766.5151999994,2013-05-20
-76572.9535999983,2013-05-21
-196402.28119999927,2013-05-22
-25209.677199999427,2013-05-23
-85807.83400000121,2013-05-24
41207.86039999959,2013-05-27
-27110.02639999844,2013-05-28
-100425.75080000052,2013-05-29
-110154.96119999903,2013-05-30
-107916.43680000413,2013-05-31
-133761.09279999757,2013-06-03
7392.143199999444,2013-06-04
-170036.85839999895,2013-06-05
-208830.86279999965,2013-06-06
-238534.30840000144,2013-06-07
69250.17479999788,2013-06-13
103213.47440000188,2013-06-14
23572.27040000039,2013-06-17
-46625.58999999903,2013-06-18
-273146.3760000031,2013-06-19
-77373.70559999911,2013-06-20
-296612.94039999956,2013-06-21
-74392.68399999967,2013-06-24
-51713.6812000012,2013-06-25
-66519.75519999962,2013-06-26
1604.7128000001849,2013-06-27
-218776.5035999976,2013-06-28
64400.17320000027,2013-07-01
-187949.7480000008,2013-07-02
-60393.127999997196,2013-07-03
-25912.01440000313,2013-07-04
-189387.48359999925,2013-07-05
-58987.450800002116,2013-07-08
55048.208800004715,2013-07-09
126505.50439999475,2013-07-10
-73109.82519999817,2013-07-11
33231.04759999692,2013-07-12
28747.839200004506,2013-07-15
-117295.03560000051,2013-07-16
-130053.87400000384,2013-07-17
-212025.48039999758,2013-07-18
50486.980400000844,2013-07-19
52785.18480000142,2013-07-22
-40954.536800004505,2013-07-23
-131475.84799999802,2013-07-24
-84952.90159999873,2013-07-25
-137373.50480000064,2013-07-26
-71496.92760000161,2013-07-29
-110761.30479999843,2013-07-30
80160.78359999736,2013-07-31
-70572.547199999,2013-08-01
70892.35880000037,2013-08-02
8013.236799998333,2013-08-05
-118030.8851999961,2013-08-06
-64202.238000001606,2013-08-07
56086.11079999824,2013-08-08
48112.14680000222,2013-08-09
-76145.22080000301,2013-08-12
-103973.2647999987,2013-08-13
-182584.96999999761,2013-08-14
-164079.30080000174,2013-08-15
49119.77440000043,2013-08-16
-130669.2187999997,2013-08-19
-40901.96359999954,2013-08-20
-77158.2268000025,2013-08-21
-98926.91279999758,2013-08-22
37422.02439999838,2013-08-23
-61363.832799999334,2013-08-26
-128814.30920000125,2013-08-27
-101884.3052000004,2013-08-28
-82279.78839999689,2013-08-29
-33002.92160000249,2013-08-30
63198.144000004126,2013-09-02
-126759.19040000052,2013-09-03
-110479.24000000379,2013-09-04
-32464.981999998876,2013-09-05
34325.60079999879,2013-09-06
-70001.4783999982,2013-09-09
