account_rewards,date
-2155518.2322762003,2012-01-09
-797.3257775017992,2012-01-10
-1309.4776774998754,2012-01-11
-23829.218512699452,2012-01-12
-31761.223133599484,2012-01-13
62395.079533800905,2012-01-16
-59641.925020600465,2012-01-17
21423.463853001736,2012-01-18
22042.09897239902,2012-01-19
-21085.269532397997,2012-01-20
5209.24312149917,2012-01-30
-10955.635519101143,2012-01-31
30326.139898999572,2012-02-01
10553.24078860255,2012-02-02
5322.772593100075,2012-02-03
-19589.074271199283,2012-02-06
36666.13744969989,2012-02-07
635.0663517979458,2012-02-08
3445.2714629963384,2012-02-09
-1361.9590754024896,2012-02-10
-11918.856218402489,2012-02-13
22313.556189801675,2012-02-14
-5296.235663598078,2012-02-15
3058.553334696625,2012-02-16
-1981.0127238986981,2012-02-17
27412.108311598313,2012-02-20
19687.340807598586,2012-02-21
1078.2017843999952,2012-02-22
37701.64635570018,2012-02-23
6661.235920400145,2012-02-24
11700.82818750091,2012-02-27
-32007.392298798717,2012-02-28
-16554.058456000763,2012-02-29
35394.527347199684,2012-03-01
-30145.931417300155,2012-03-02
-47411.8172729956,2012-03-05
-4777.8003940006765,2012-03-06
35707.41813200048,2012-03-07
25096.65257639785,2012-03-08
653.9454147997126,2012-03-09
14423.326057799195,2012-03-12
-88262.43259940212,2012-03-13
-19257.207609999692,2012-03-14
64830.73851399881,2012-03-15
2035.371483902082,2012-03-16
-57381.00518310245,2012-03-19
-3493.7091069995327,2012-03-20
-10926.132221002761,2012-03-21
-26524.59828979794,2012-03-22
14701.583413198448,2012-03-23
-4653.769447499644,2012-03-26
-107311.3412079017,2012-03-27
-25592.647847001695,2012-03-28
22204.1867989981,2012-03-29
79254.00955180012,2012-03-30
2346.511271899692,2012-04-05
-27445.298339401106,2012-04-06
36770.37402259945,2012-04-09
102131.90738810069,2012-04-10
16166.819843599093,2012-04-12
-10019.083637099906,2012-04-13
-57697.9125879997,2012-04-16
89049.64947769945,2012-04-17
6681.084640001036,2012-04-18
61790.50702219984,2012-04-19
-41347.275209502135,2012-04-20
-33907.55403099573,2012-04-23
57857.99938249925,2012-04-24
-11917.046251799358,2012-04-25
-9385.075673301495,2012-04-26
100749.68532720029,2012-04-27
1265.735841997871,2012-05-02
-44884.7045168986,2012-05-03
-17520.460822399396,2012-05-04
1093.5566726010738,2012-05-07
-83845.25419539945,2012-05-08
-6565.808687000026,2012-05-09
-49019.35791300051,2012-05-10
-22326.79885880067,2012-05-11
24278.58817730019,2012-05-14
-73256.7495208008,2012-05-15
72606.11613420075,2012-05-16
-78815.70385249953,2012-05-17
28150.12881719587,2012-05-18
82131.52530290108,2012-05-21
-6150.83955699895,2012-05-22
-56592.66756149999,2012-05-23
-76057.99619720106,2012-05-24
82652.31094369847,2012-05-25
50303.42506509997,2012-05-28
-24053.486409500696,2012-05-29
22439.89703340125,2012-05-30
49905.78430749986,2012-05-31
-141024.67494199955,2012-06-01
2525.680045299725,2012-06-04
-16256.591542197282,2012-06-05
-28861.830672302727,2012-06-06
-21772.665321798675,2012-06-07
97350.2912907004,2012-06-08
11390.14002029847,2012-06-11
157697.37528320163,2012-06-12
-9368.928439601208,2012-06-13
-19846.42428619947,2012-06-14
-18991.71693819993,2012-06-15
-62818.107403499875,2012-06-18
-8925.233169298814,2012-06-19
-98353.73657220058,2012-06-20
-115498.19712800076,2012-06-21
43210.95578079949,2012-06-25
20634.82580320027,2012-06-26
-6849.1727261992855,2012-06-27
133631.985048801,2012-06-28
95293.17540809864,2012-06-29
84061.58322340052,2012-07-02
4365.738735002666,2012-07-03
-73407.52920360284,2012-07-04
172056.35734589965,2012-07-05
-46780.41129319843,2012-07-06
-55230.139472999115,2012-07-09
74770.50664039914,2012-07-10
36713.77058999936,2012-07-11
44448.79300219945,2012-07-12
-138530.75415350054,2012-07-13
83375.30970940189,2012-07-16
-35077.73509380204,2012-07-17
92936.1438598019,2012-07-18
-65290.86033409897,2012-07-19
-72403.02908500095,2012-07-20
17767.34681180056,2012-07-23
-78717.15392109877,2012-07-24
-89911.13660349925,2012-07-25
-115476.68104840217,2012-07-26
-58331.09264199832,2012-07-27
29191.17729549991,2012-07-30
136728.84307870158,2012-07-31
-55238.425591999425,2012-08-01
61222.38473930014,2012-08-02
94556.88259099722,2012-08-03
-42488.185483598296,2012-08-06
-83101.36594609868,2012-08-07
143361.51828500014,2012-08-08
-22187.773003201764,2012-08-09
-180400.0993570009,2012-08-10
-58015.21212119895,2012-08-13
-79550.30616200087,2012-08-14
-25433.471404901175,2012-08-15
-71660.06158609923,2012-08-16
-52489.34651350137,2012-08-17
38055.995260499345,2012-08-20
-84632.50498910002,2012-08-21
46840.62714900175,2012-08-22
-68578.14153619981,2012-08-23
-138471.77943000058,2012-08-24
-4191.71081999985,2012-08-27
-457.4791247996919,2012-08-28
-4001.9299395981116,2012-08-29
-17787.097965801233,2012-08-30
153589.45439940004,2012-08-31
6703.596272299505,2012-09-03
49716.185832599745,2012-09-04
35237.41838249962,2012-09-05
306942.70082330174,2012-09-06
-23429.09787430301,2012-09-07
-49703.49405419985,2012-09-10
-16778.975667898674,2012-09-11
-32795.72244109911,2012-09-12
-19009.182362500836,2012-09-13
-209464.7962098988,2012-09-14
-30590.995062399787,2012-09-17
52950.797279497754,2012-09-18
-154247.4790813001,2012-09-19
-3103.229695399107,2012-09-20
84698.96431720223,2012-09-21
39218.03594369656,2012-09-24
-78087.88226059903,2012-09-25
184285.34366980105,2012-09-26
121399.17502170012,2012-09-27
-19228.498442697914,2012-09-28
134314.6602232974,2012-10-08
20204.078727298245,2012-10-09
-111968.83842639932,2012-10-10
-46891.189256998914,2012-10-11
70088.07754820208,2012-10-12
-26367.095653601853,2012-10-15
12854.53151249982,2012-10-16
127013.13604200073,2012-10-17
-75993.48176239841,2012-10-18
35232.36109399802,2012-10-19
-115780.45073059853,2012-10-22
-46349.374448700364,2012-10-23
-54760.6291043981,2012-10-24
-93752.05087570206,2012-10-25
22524.367908900746,2012-10-26
30243.336613798776,2012-10-29
60587.38641670015,2012-10-30
133775.86377549835,2012-10-31
23037.538867800264,2012-11-01
61158.88483490295,2012-11-02
-26492.068486603806,2012-11-05
-13905.51247399863,2012-11-06
-106945.75224720048,2012-11-07
-36013.03672699862,2012-11-08
-10370.62863659803,2012-11-09
-69196.58259090204,2012-11-12
-94689.39642810237,2012-11-13
-52100.4385547981,2012-11-14
-32979.58425889996,2012-11-15
-112158.368753103,2012-11-16
-36910.69775829777,2012-11-19
99636.84863420119,2012-11-20
-53320.004528098805,2012-11-21
77098.99471819689,2012-11-22
-87319.57825569945,2012-11-23
-83004.38797949986,2012-11-26
-112515.03157989946,2012-11-27
-13236.517780800428,2012-11-28
108607.75193249923,2012-11-29
-14151.023901998355,2012-11-30
99407.20859850073,2012-12-03
211944.47174410094,2012-12-04
-139661.24175440063,2012-12-05
152793.10533050122,2012-12-06
68736.47587289737,2012-12-07
-49730.51992580001,2012-12-10
-4894.540335901334,2012-12-11
12588.870043500574,2012-12-12
322604.4336436032,2012-12-13
