account_rewards,date
-2242990.818892004,2012-01-09
-6046.635798999108,2012-01-10
7042.95998099912,2012-01-11
-28448.285225001702,2012-01-12
-32708.08384000078,2012-01-13
82199.93810100069,2012-01-16
-33140.56884699941,2012-01-17
53525.660637999164,2012-01-18
52720.347788998675,2012-01-19
-42593.42487499969,2012-01-20
-7880.520486000453,2012-01-30
-52490.46486599866,2012-01-31
98852.94703700127,2012-02-01
27798.676425999995,2012-02-02
-889.7612250008107,2012-02-03
-49126.198989998586,2012-02-06
90227.55352600051,2012-02-07
12700.183836000457,2012-02-08
13708.993067997884,2012-02-09
3916.2985260032306,2012-02-10
-42556.94544000024,2012-02-13
45831.735481000476,2012-02-14
-44100.13944899934,2012-02-15
-2868.7243110013237,2012-02-16
37971.25815900057,2012-02-17
52039.608891999545,2012-02-20
80095.43339700058,2012-02-21
1054.1728720013914,2012-02-22
117446.95332399983,2012-02-23
10241.952391999315,2012-02-24
-17762.411350100785,2012-02-27
-156938.98423339866,2012-02-28
-73230.17808850293,2012-02-29
121015.49701150296,2012-03-01
-135776.10669340083,2012-03-02
-131339.09577300216,2012-03-05
-56009.984872500056,2012-03-06
76390.20531030248,2012-03-07
20540.977257399467,2012-03-08
-84593.7694430999,2012-03-09
33986.77059300135,2012-03-12
-235100.2654518016,2012-03-13
-104958.2162530994,2012-03-14
123894.5829262988,2012-03-15
-60556.15044989674,2012-03-16
-156247.09683300206,2012-03-19
-55829.79019450237,2012-03-20
-20350.043644198457,2012-03-21
-31277.792900797842,2012-03-22
-3247.647109904149,2012-03-23
-151786.3853199956,2012-03-26
-169925.15342000197,2012-03-27
-60592.220319001055,2012-03-28
15799.120431203144,2012-03-29
192213.72393599903,2012-03-30
6843.656548798143,2012-04-05
-62885.03058509984,2012-04-06
40495.17662400156,2012-04-09
138218.63432269852,2012-04-10
-13209.153050297034,2012-04-12
-37262.24567719842,2012-04-13
-136480.69004110398,2012-04-16
156609.2453417011,2012-04-17
-107935.33520940004,2012-04-18
28525.73682910168,2012-04-19
-128512.68480000354,2012-04-20
-89510.91519999903,2012-04-23
-19902.314400000087,2012-04-24
-41964.36960000137,2012-04-25
21813.200399999074,2012-04-26
51916.551200004586,2012-04-27
-82361.2004000017,2012-05-02
46644.83479999671,2012-05-03
-81290.22319999551,2012-05-04
-101382.45760000238,2012-05-07
-241457.79239999963,2012-05-08
-148339.0155999988,2012-05-09
-125703.79239999934,2012-05-10
-171931.1443999989,2012-05-11
-54554.83360000194,2012-05-14
-202801.52360000095,2012-05-15
-6518.614000001833,2012-05-16
-189047.50559999983,2012-05-17
9537.988000001522,2012-05-18
111221.91920000265,2012-05-21
-60855.19680000131,2012-05-22
-273082.9200000007,2012-05-23
-124885.28039999995,2012-05-24
126272.4752000014,2012-05-25
-46875.5972000035,2012-05-28
-44012.09999999881,2012-05-29
14984.990800001786,2012-05-30
-52318.700000003664,2012-05-31
-310316.4451999967,2012-06-01
-7258.70240000119,2012-06-04
-154206.68879999942,2012-06-05
-92212.69480000035,2012-06-06
-101710.27639999893,2012-06-07
-36666.16199999763,2012-06-08
-126341.66480000262,2012-06-11
30458.14719999978,2012-06-12
-12018.269200003131,2012-06-13
-107500.32679999835,2012-06-14
-182731.27479999745,2012-06-15
-192733.25280000016,2012-06-18
-97070.02480000167,2012-06-19
-222071.7403999986,2012-06-20
-222086.20840000117,2012-06-21
-54809.09759999915,2012-06-25
-12237.91440000309,2012-06-26
-217518.95039999663,2012-06-27
23600.453999999576,2012-06-28
-80750.28440000201,2012-06-29
164115.0996000024,2012-07-02
990.0976000011151,2012-07-03
-231196.82360000352,2012-07-04
119571.58199999764,2012-07-05
-251776.29879999612,2012-07-06
-167473.51720000015,2012-07-09
52990.13559999879,2012-07-10
-75702.83239999924,2012-07-11
-10766.639600001214,2012-07-12
-213922.91439999678,2012-07-13
-165183.9596000024,2012-07-16
-242702.09000000084,2012-07-17
-59771.42719999839,2012-07-18
-184634.68039999882,2012-07-19
-152940.40000000186,2012-07-20
44532.47640000035,2012-07-23
-11270.897599996835,2012-07-24
-184564.78240000148,2012-07-25
-57771.03560000063,2012-07-26
-88257.31960000152,2012-07-27
-133089.67640000125,2012-07-30
-91735.61279999843,2012-07-31
-199516.95479999887,2012-08-01
19065.186800000767,2012-08-02
-7271.1616000010945,2012-08-03
-16220.716799999514,2012-08-06
-54987.891199998645,2012-08-07
70982.23240000063,2012-08-08
-306057.4376000029,2012-08-09
-202806.7651999974,2012-08-10
-88013.16920000334,2012-08-13
-151463.82799999922,2012-08-14
-157733.52320000227,2012-08-15
-219648.03079999555,2012-08-16
-72943.6524000036,2012-08-17
-19976.369599996542,2012-08-20
-173762.0156000032,2012-08-21
-129539.24159999852,2012-08-22
-32215.630799999148,2012-08-23
-181549.36840000018,2012-08-24
-102983.39840000092,2012-08-27
-203282.0335999977,2012-08-28
-106747.14760000336,2012-08-29
-57842.93799999902,2012-08-30
13933.013600000762,2012-08-31
108520.1536000019,2012-09-03
-29984.98960000064,2012-09-04
-87019.32840000384,2012-09-05
269977.61640000145,2012-09-06
-49718.127600000575,2012-09-07
-138261.0143999994,2012-09-10
-54627.83160000119,2012-09-11
-87072.62599999868,2012-09-12
20890.82360000003,2012-09-13
-255419.65439999834,2012-09-14
-122548.20080000037,2012-09-17
-185979.41560000041,2012-09-18
-194617.80319999933,2012-09-19
-25781.68160000294,2012-09-20
-20657.419599996483,2012-09-21
19181.87279999698,2012-09-24
-156877.09479999932,2012-09-25
126460.96920000236,2012-09-26
100248.84799999821,2012-09-27
-222610.71359999705,2012-09-28
80095.91199999387,2012-10-08
-82506.12559999927,2012-10-09
-161620.27119999955,2012-10-10
-58410.58479999874,2012-10-11
-54115.57439999818,2012-10-12
-20576.137600002483,2012-10-15
-81424.47039999974,2012-10-16
64702.79240000062,2012-10-17
-60082.288799998976,2012-10-18
-111270.89000000173,2012-10-19
-245978.86039999817,2012-10-22
-64229.64240000074,2012-10-23
-118623.52640000058,2012-10-24
-236368.19159999953,2012-10-25
-84063.79279999898,2012-10-26
-9870.704800000754,2012-10-29
1397.236400001746,2012-10-30
65801.5203999987,2012-10-31
-55642.84720000024,2012-11-01
-173623.2147999984,2012-11-02
-203422.9640000047,2012-11-05
-58458.533599998176,2012-11-06
-204823.2288000004,2012-11-07
-54079.789200000916,2012-11-08
-104514.87919999629,2012-11-09
-208340.9544000023,2012-11-12
-45936.63000000227,2012-11-13
-190187.692399997,2012-11-14
-121994.63520000066,2012-11-15
-224351.4928000031,2012-11-16
-53205.94439999892,2012-11-19
47662.88760000257,2012-11-20
-128560.08239999904,2012-11-21
34139.30239999864,2012-11-22
-170034.07759999912,2012-11-23
-80440.01039999971,2012-11-26
-149327.95160000084,2012-11-27
-83223.3872000004,2012-11-28
-38581.58920000168,2012-11-29
-292436.860799998,2012-11-30
-91212.2239999997,2012-12-03
29954.32279999934,2012-12-04
-109399.88040000059,2012-12-05
52761.785200002334,2012-12-06
-25758.417999998772,2012-12-07
-39236.83520000307,2012-12-10
88076.87680000077,2012-12-11
-196895.71959999934,2012-12-12
149741.66520000144,2012-12-13
-34347.062000001206,2012-12-14
-35410.490400001094,2012-12-17
-5486.0840000034,2012-12-18
-69685.71159999742,2012-12-19
-126272.55439999881,2012-12-20
-230195.7036000001,2012-12-21
42589.517999997996,2012-12-24
-44629.20199999813,2012-12-25
-89036.80320000174,2012-12-26
85914.70240000039,2012-12-27
-7876.194799998411,2012-12-28
-63461.37080000129,2012-12-31
-74215.94279999704,2013-01-04
-15131.911600001991,2013-01-07
-16107.925200000594,2013-01-08
-83115.56560000092,2013-01-09
-237903.39479999823,2013-01-10
83753.13200000032,2013-01-11
-75937.47120000063,2013-01-14
-206339.0491999983,2013-01-15
-183761.15080000178,2013-01-16
17549.150400000854,2013-01-17
-155792.81320000152,2013-01-18
-104087.26319999906,2013-01-21
-84360.97520000074,2013-01-22
-171126.066799998,2013-01-23
-210679.60520000203,2013-01-24
-74423.63439999823,2013-01-25
-44300.274399999995,2013-01-28
-19898.924000001905,2013-01-29
-175717.66239999738,2013-01-30
-9460.938800002197,2013-01-31
-163987.02599999754,2013-02-01
112978.98599999795,2013-02-04
-124729.10519999894,2013-02-05
-74527.06560000087,2013-02-06
19219.980799998466,2013-02-07
-228545.5931999978,2013-02-08
-258741.48280000096,2013-02-18
-43284.00120000015,2013-02-19
-190093.2855999986,2013-02-20
-33553.00840000161,2013-02-21
-145082.68759999913,2013-02-22
-213811.00440000123,2013-02-25
-25098.765199998066,2013-02-26
34043.94119999938,2013-02-27
-113385.77999999895,2013-02-28
-317503.1163999993,2013-03-01
5332.202799997274,2013-03-04
-5123.6147999992945,2013-03-05
-5385.195199998123,2013-03-06
-68372.27160000314,2013-03-07
-78375.95440000067,2013-03-08
-125186.20640000074,2013-03-11
-140989.84639999815,2013-03-12
-164644.46759999802,2013-03-13
-153367.59159999967,2013-03-14
-245141.08280000367,2013-03-15
-55724.32040000023,2013-03-18
130039.68400000327,2013-03-19
-121939.51000000244,2013-03-20
-19193.12639999662,2013-03-21
-99264.0780000017,2013-03-22
-105553.63640000296,2013-03-25
-103276.46519999548,2013-03-26
-143810.16960000055,2013-03-27
-73637.62680000025,2013-03-28
-136001.8472000009,2013-03-29
-55793.43279999856,2013-04-01
-75466.8332000009,2013-04-02
-80747.2004000012,2013-04-03
-32787.72679999847,2013-04-08
22842.50239999538,2013-04-09
-95543.28999999883,2013-04-10
-65532.00199999982,2013-04-11
-83737.43359999795,2013-04-12
20440.590000001503,2013-04-15
6070.071999999809,2013-04-16
-66509.44640000483,2013-04-17
9891.62480000173,2013-04-18
-191246.925999999,2013-04-19
-259146.1539999993,2013-04-22
26976.411600000374,2013-04-23
-100936.77120000159,2013-04-24
-122658.03799999937,2013-04-25
-117833.36360000042,2013-04-26
15470.480109100521,2013-05-02
44311.37400000105,2013-05-03
107296.26439999715,2013-05-06
-35159.867599999816,2013-05-07
-21262.718799997103,2013-05-08
-49348.43839999911,2013-05-09
-94983.35160000435,2013-05-10
-238663.9091999975,2013-05-13
-11540.090399999888,2013-05-14
2622.106799999324,2013-05-15
-753.2400000021426,2013-05-16
-70746.39879999918,2013-05-17
-81968.19520000034,2013-05-20
18258.6464000017,2013-05-21
-115004.33119999742,2013-05-22
-104055.11720000318,2013-05-23
-72319.43399999938,2013-05-24
21917.740399997736,2013-05-27
-77993.67639999656,2013-05-28
-111424.71080000051,2013-05-29
-169396.86119999902,2013-05-30
223.98319999677142,2013-05-31
-131649.3927999985,2013-06-03
-97385.52680000148,2013-06-04
-128305.238399998,2013-06-05
-228105.0327999997,2013-06-06
-271977.27840000147,2013-06-07
-85718.73520000125,2013-06-13
-172503.94559999902,2013-06-14
30091.680400001293,2013-06-17
-42499.47999999903,2013-06-18
-160843.33600000312,2013-06-19
-90034.59560000003,2013-06-20
-378367.34039999865,2013-06-21
-35843.22399999965,2013-06-24
-105043.92120000116,2013-06-25
-97092.87519999775,2013-06-26
67340.31279999737,2013-06-27
-11287.423599998474,2013-06-28
2087.083200001216,2013-07-01
-102747.67800000083,2013-07-02
-37621.89799999721,2013-07-03
-39319.52440000313,2013-07-04
