date,600010.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600104.SH,600111.SH,600196.SH,600276.SH,600309.SH,600436.SH,600438.SH,600519.SH,600570.SH,600585.SH,600588.SH,600690.SH,600809.SH,600837.SH,600887.SH,600893.SH,600900.SH,601012.SH,601088.SH,601166.SH,601288.SH,601318.SH,601398.SH,601601.SH,601628.SH,601633.SH,601668.SH,601688.SH,601857.SH,601888.SH,601899.SH,601919.SH
2012-01-09,-1000,1000,-300,0,1000,-200,-500,-1000,-600,400,-600,-400,700,800,1000,100,0,-1000,0,-700,-400,300,-500,600,-1000,-200,1000,-1000,1000,-1000,-700,-1000,1000,0,400,-600,-400,-200
2012-01-10,-600,1000,-400,800,400,200,-900,1000,-1000,-1000,-1000,400,-1000,-400,-200,-100,0,-300,-1000,-600,100,600,1000,-200,1000,-300,500,1000,600,-800,-900,700,-1000,200,-300,-400,-700,300
2012-01-11,500,500,1000,-900,800,600,-700,100,-300,200,1000,1000,0,-400,0,600,-900,700,1000,-800,-500,700,-1000,-200,1000,600,0,100,-1000,-300,1000,1000,500,-1000,-500,-400,900,-800
2012-01-12,1000,-1000,-900,-1000,800,1000,0,-500,-200,-200,-300,0,100,-900,-1000,-1000,-200,200,1000,0,-800,-100,1000,1000,-1000,0,-300,-300,-200,1000,-1000,-1000,-200,-1000,400,0,800,0
2012-01-13,500,-1000,-800,-500,200,-700,100,-1000,0,700,1000,-800,300,-300,-300,-900,-500,1000,-1000,0,-300,-1000,-300,-400,0,-500,-1000,200,300,-600,-400,700,-200,-200,1000,-400,500,-1000
2012-01-16,1000,-500,700,1000,200,-800,700,1000,700,300,900,1000,0,-900,-1000,-800,-500,-300,-300,400,0,-300,-100,-900,-400,-800,600,-200,1000,300,-100,-1000,500,0,-1000,-100,1000,0
2012-01-17,-300,800,-100,900,-300,1000,-800,1000,700,300,700,1000,-400,0,-600,500,0,-1000,200,800,0,-800,-200,1000,-500,-700,-1000,700,-1000,-700,1000,-700,1000,-100,-200,100,-500,-400
2012-01-18,400,100,-1000,-100,800,1000,900,0,400,-300,-200,-1000,-200,300,0,0,0,1000,-300,-400,700,-1000,400,-1000,0,1000,1000,0,-1000,1000,1000,200,-200,1000,-900,0,-100,0
2012-01-19,-1000,0,100,-300,900,300,1000,1000,-500,300,0,-400,-1000,-300,500,1000,1000,-200,0,-800,0,-500,-1000,-400,-1000,1000,-400,-600,1000,0,-500,-600,-900,0,300,-300,-1000,200
2012-01-20,700,-1000,-200,1000,100,1000,-300,-200,1000,1000,400,500,1000,0,1000,300,-500,100,-600,1000,-100,0,1000,-200,600,-500,500,-100,-300,-1000,800,1000,1000,-600,-1000,0,-1000,1000
2012-01-30,-400,300,1000,-500,-1000,-600,800,-1000,900,-1000,0,600,-1000,0,100,-1000,-500,0,-800,-800,-300,0,0,200,200,-600,100,-1000,0,400,-700,-100,-1000,-400,-300,0,-1000,1000
2012-01-31,-200,-900,200,1000,-1000,0,-900,800,300,1000,0,-400,-600,0,-300,-800,300,1000,1000,-200,300,300,0,-1000,900,-1000,600,500,1000,-400,1000,700,-700,0,0,100,1000,-1000
2012-02-01,400,-300,-1000,-500,-600,500,-1000,0,-900,400,0,-1000,0,0,-1000,0,-300,900,-1000,1000,-100,-300,1000,900,400,700,200,600,700,0,-400,-600,700,0,1000,-100,1000,0
2012-02-02,1000,-900,-400,0,700,400,-300,-1000,400,-1000,0,1000,1000,700,0,0,1000,-1000,-100,700,1000,0,1000,-1000,0,1000,1000,200,600,0,0,-800,400,100,1000,0,1000,0
2012-02-03,900,-100,100,-1000,1000,1000,500,-500,200,-200,1000,-100,-100,-500,500,300,-600,100,-200,200,1000,1000,300,-500,-500,1000,1000,-1000,-100,600,-500,-100,1000,-100,0,800,0,-100
2012-02-06,-300,-100,-100,-1000,-700,400,-400,800,900,1000,800,-200,-900,700,100,800,600,-1000,800,300,800,1000,-900,400,-1000,1000,500,200,-1000,100,-300,1000,-900,700,300,-800,-1000,200
2012-02-07,-1000,0,0,500,800,-1000,-300,-1000,-700,-400,-300,500,400,-500,1000,500,1000,0,-500,-300,400,0,500,300,1000,1000,1000,1000,1000,-700,-900,-800,0,900,-600,0,0,-200
2012-02-08,300,0,0,-500,400,400,1000,-1000,800,-400,1000,-100,-400,1000,1000,300,-1000,100,1000,700,800,300,0,200,0,-900,-200,500,100,1000,-200,-700,-700,-200,-300,900,0,-400
2012-02-09,1000,0,1000,-800,-1000,-400,800,-600,-300,600,-800,500,1000,-200,-800,0,-1000,1000,1000,-1000,1000,-1000,200,-900,-1000,600,100,1000,300,100,-300,900,-1000,1000,800,900,1000,-300
2012-02-10,600,0,1000,-200,-1000,-300,700,0,-100,-200,-600,-300,400,100,1000,1000,1000,1000,0,-1000,600,800,-1000,800,-200,-1000,-400,-700,1000,-400,500,1000,-1000,1000,300,0,1000,1000
2012-02-13,-100,1000,0,1000,1000,-300,600,1000,-400,400,-1000,1000,-700,-1000,300,-900,-1000,-600,-1000,-600,-1000,-200,0,-800,-600,400,-500,-600,-100,400,-200,-1000,400,-1000,0,0,0,-400
2012-02-14,400,-1000,-700,800,300,0,0,-300,300,0,100,1000,-700,-300,1000,-900,0,-1000,800,1000,-1000,600,-200,1000,1000,1000,-900,300,0,300,-300,-900,0,0,-500,1000,-100,-500
2012-02-15,-900,0,200,700,-900,1000,-1000,1000,0,0,1000,-300,400,0,500,100,700,1000,-100,-1000,900,600,-500,-400,200,-800,100,-1000,-1000,0,1000,100,1000,1000,400,-300,-100,-500
2012-02-16,600,700,-600,100,-600,800,1000,0,-300,1000,600,400,600,0,500,-200,-100,-200,-1000,300,200,1000,1000,400,1000,-1000,-1000,-600,-500,-1000,900,-100,1000,-1000,-600,-800,800,0
2012-02-17,1000,-700,-400,-400,-900,1000,-1000,-300,400,-400,1000,-1000,900,0,1000,-1000,100,-1000,-1000,1000,1000,-1000,-500,100,-300,-700,0,0,500,1000,700,100,400,1000,1000,0,300,1000
2012-02-20,0,100,-500,-600,-1000,300,-1000,-200,500,-600,-1000,700,200,100,-800,0,-600,0,0,0,-100,500,300,-900,600,-1000,-800,700,-800,500,900,-100,1000,800,-600,800,-1000,-900
2012-02-21,100,-100,0,400,300,0,-500,-1000,400,-1000,900,1000,300,-100,1000,0,-100,-300,0,900,0,-1000,1000,500,0,-500,700,400,-200,300,800,0,300,-1000,-1000,100,300,1000
2012-02-22,400,900,0,1000,-700,-100,800,-200,300,-1000,0,100,-300,1000,200,0,500,-1000,1000,800,-400,400,200,-700,1000,500,-800,1000,500,-100,600,0,800,-1000,1000,1000,800,-500
2012-02-23,1000,-900,0,800,-700,100,900,1000,0,-700,0,-900,-400,-1000,900,500,-500,100,-1000,-100,-1000,-1000,-1000,0,400,-400,500,200,-300,200,900,0,-1000,900,-600,-700,-400,700
2012-02-24,400,1000,900,900,200,200,-1000,-100,-500,-800,-500,-1000,500,0,400,100,0,1000,1000,-1000,1000,800,-1000,200,0,-800,-300,500,-500,1000,0,500,400,-200,-300,-600,200,-500
2012-02-27,-400,1000,800,-1000,1000,-900,0,0,-300,100,200,-400,1000,0,500,-600,0,1000,-400,1000,500,100,900,300,-600,200,600,600,1000,0,500,1000,300,1000,200,600,-1000,-800
2012-02-28,400,-1000,-200,-1000,200,-800,1000,-100,-400,0,-1000,1000,0,100,-1000,0,0,-100,-300,900,100,-1000,900,100,-1000,-400,-400,400,-500,-300,-200,1000,-800,1000,-400,1000,1000,0
