date,600010.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600104.SH,600111.SH,600196.SH,600276.SH,600309.SH,600436.SH,600438.SH,600519.SH,600570.SH,600585.SH,600588.SH,600690.SH,600809.SH,600837.SH,600887.SH,600893.SH,600900.SH,601012.SH,601088.SH,601166.SH,601288.SH,601318.SH,601398.SH,601601.SH,601628.SH,601633.SH,601668.SH,601688.SH,601857.SH,601888.SH,601899.SH,601919.SH
2012-01-09,-1000,-1000,-1000,-400,-1000,1000,1000,-1000,-1000,1000,1000,1000,1000,-1000,-1000,-1000,-1000,400,-1000,1000,1000,-1000,-1000,-1000,1000,-1000,-1000,-1000,-1000,0,1000,1000,1000,-1000,-1000,-1000,-1000,800
2012-01-10,-1000,900,-1000,1000,-1000,1000,-500,-1000,1000,1000,1000,-1000,600,-1000,100,-1000,1000,1000,-100,1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,1000,1000,1000,1000,-1000,1000,-1000,-800,1000
2012-01-11,1000,1000,-100,1000,-100,-1000,-900,-100,1000,1000,1000,-500,1000,100,-1000,1000,-1000,1000,100,-1000,-1000,1000,-100,-100,1000,-100,-100,-100,-100,1000,-1000,-1000,1000,-100,-1000,1000,1000,1000
2012-01-12,1000,1000,0,-1000,0,-1000,-1000,0,-1000,1000,-1000,1000,1000,-200,-100,-1000,-1000,-1000,-900,-1000,1000,-900,0,1000,900,0,0,0,1000,-600,-1000,1000,1000,0,-1000,1000,-1000,-500
2012-01-13,1000,-1000,1000,-1000,1000,1000,-700,1000,800,-1000,1000,1000,1000,0,-100,-100,-100,1000,-200,-1000,-1000,1000,0,-900,1000,0,0,1000,-1000,-1000,1000,-1000,1000,0,1000,-300,-300,1000
2012-01-16,-1000,1000,-700,1000,-1000,-1000,1000,1000,-1000,-1000,1000,1000,1000,1000,0,200,1000,-1000,1000,1000,1000,1000,0,-100,-1000,0,1000,-1000,1000,1000,-1000,1000,-1000,1000,-1000,-1000,1000,1000
2012-01-17,-1000,1000,-100,-1000,0,-200,-1000,1000,1000,-1000,1000,1000,900,1000,1000,-200,-1000,300,-1000,-1000,-1000,1000,0,0,-1000,0,-1000,0,-1000,-1000,-1000,700,1000,900,1000,1000,-1000,-1000
2012-01-18,-1000,-1000,-200,-1000,600,-1000,1000,-1000,1000,300,-1000,-1000,1000,-1000,-1000,0,1000,-1000,0,1000,-1000,-1000,1000,0,-1000,1000,0,0,0,1000,-800,-1000,-1000,-1000,1000,-1000,0,1000
2012-01-19,-100,-1000,1000,1000,400,1000,-1000,-1000,1000,-1000,-1000,-1000,1000,-1000,0,1000,-1000,-500,1000,1000,1000,1000,1000,1000,-600,1000,1000,1000,0,1000,-300,200,800,-900,-1000,-800,0,1000
2012-01-20,1000,-1000,-1000,-200,-1000,1000,0,-1000,1000,1000,1000,-1000,1000,0,0,1000,0,1000,-1000,1000,-1000,-1000,-1000,-1000,900,-1000,-1000,-1000,1000,1000,0,1000,1000,1000,-1000,1000,0,-1000
2012-01-30,1000,-1000,0,1000,0,1000,0,0,-1000,-1000,1000,-1000,1000,1000,1000,300,0,-1000,100,-1000,-100,900,-1000,0,1000,1000,0,0,1000,1000,0,-1000,-1000,1000,1000,1000,0,1000
2012-01-31,1000,1000,0,-1000,0,1000,1000,0,-200,1000,1000,-1000,-900,1000,-1000,-1000,0,-1000,1000,1000,0,-1000,1000,0,-1000,-1000,0,0,800,-1000,1000,1000,-1000,100,-1000,1000,1000,1000
2012-02-01,1000,-1000,1000,-500,0,1000,-1000,1000,1000,-1000,1000,-600,1000,-1000,0,1000,0,1000,1000,1000,0,1000,1000,1000,1000,-1000,0,0,-1000,1000,1000,0,-1000,1000,-100,1000,1000,1000
2012-02-02,-700,-1000,1000,-1000,0,-1000,0,-1000,-1000,1000,1000,600,1000,1000,0,800,0,1000,-1000,300,0,-1000,1000,1000,-1000,0,0,800,-1000,1000,700,-1000,1000,1000,1000,1000,1000,1000
2012-02-03,900,0,-1000,0,0,1000,1000,0,-1000,0,1000,-600,1000,-1000,1000,1000,0,-1000,1000,-1000,0,1000,-1000,-1000,-1000,1000,0,-800,-800,-1000,-1000,-1000,-1000,-1000,-1000,1000,-1000,1000
2012-02-06,-1000,1000,1000,1000,1000,-900,1000,0,1000,-1000,-1000,0,1000,-900,-1000,500,0,-1000,-1000,-1000,0,-1000,1000,-1000,-1000,-1000,1000,1000,100,1000,-1000,1000,-1000,-1000,1000,1000,1000,1000
2012-02-07,1000,-1000,-1000,1000,-1000,-1000,-1000,0,-1000,1000,1000,0,1000,1000,1000,-1000,1000,-1000,-1000,1000,200,1000,300,0,-300,0,-1000,1000,1000,-800,-700,-1000,1000,-1000,1000,1000,-1000,1000
2012-02-08,1000,0,-400,-1000,0,1000,-1000,1000,-1000,1000,100,0,-1000,-1000,1000,1000,1000,-300,1000,400,-200,1000,1000,1000,1000,1000,1000,-1000,500,1000,1000,900,-1000,-1000,1000,-1000,1000,-1000
2012-02-09,-1000,0,-600,-1000,0,-600,0,1000,1000,-1000,1000,0,-1000,-100,1000,-1000,1000,1000,1000,1000,0,1000,-1000,1000,1000,1000,-1000,-1000,-100,1000,1000,1000,-1000,-100,-1000,-600,1000,1000
2012-02-10,1000,1000,0,0,0,1000,1000,400,-200,-1000,-1000,1000,1000,0,-1000,1000,-1000,-1000,-1000,1000,0,-1000,700,-1000,900,1000,1000,0,-1000,1000,1000,-1000,-1000,0,1000,-1000,-1000,100
2012-02-13,1000,1000,1000,1000,0,1000,-1000,-1000,-700,-900,1000,-1000,1000,300,1000,-1000,1000,0,1000,-1000,1000,-1000,-1000,1000,1000,-1000,0,0,-500,300,1000,300,1000,0,1000,-300,1000,1000
2012-02-14,-100,-1000,-1000,1000,1000,-1000,1000,-1000,-1000,1000,1000,200,1000,-300,400,-1000,-1000,0,1000,1000,-1000,-1000,1000,-1000,1000,-1000,-1000,1000,0,-1000,1000,-1000,1000,1000,-1000,1000,1000,-500
2012-02-15,1000,1000,200,-1000,1000,-1000,-1000,-400,200,1000,-1000,-200,1000,0,-1000,-1000,1000,1000,-1000,1000,0,-1000,1000,-1000,1000,-100,0,600,0,-1000,-1000,-1000,1000,-500,1000,1000,1000,1000
2012-02-16,-1000,-800,-200,1000,-1000,-1000,0,0,-1000,600,-1000,1000,1000,1000,-1000,1000,-1000,-1000,1000,1000,0,-1000,-1000,1000,-1000,1000,0,1000,1000,1000,1000,-1000,1000,-500,1000,-1000,1000,100
2012-02-17,-1000,-1000,0,-1000,0,1000,0,0,-1000,1000,-1000,-1000,1000,-100,1000,-1000,-1000,1000,-1000,1000,600,100,-1000,-1000,1000,100,0,-1000,1000,-1000,1000,-100,1000,1000,1000,1000,1000,1000
2012-02-20,1000,-200,0,1000,-1000,1000,0,100,700,-1000,1000,0,1000,-600,-500,-1000,1000,1000,1000,-1000,-600,-200,1000,1000,1000,-1000,0,-1000,-1000,-700,500,-200,1000,0,1000,1000,-1000,1000
2012-02-21,-1000,0,1000,1000,900,1000,900,-100,-700,1000,-1000,0,-900,1000,-1000,1000,-1000,-1000,-1000,-1000,0,0,1000,-1000,1000,1000,0,-600,500,1000,-1000,1000,-1000,700,1000,-1000,-900,1000
2012-02-22,-1000,0,1000,1000,-900,-700,-900,0,0,1000,1000,0,1000,-1000,1000,1000,-1000,-1000,-1000,1000,0,0,1000,0,1000,-700,0,1000,200,1000,100,1000,-1000,1000,1000,1000,0,1000
2012-02-23,1000,1000,-1000,1000,0,1000,1000,0,0,1000,-1000,0,1000,800,-1000,-200,0,0,1000,1000,1000,400,1000,0,1000,1000,0,1000,-1000,-1000,-800,1000,-1000,-1000,-1000,1000,300,1000
2012-02-24,-1000,1000,1000,-1000,0,-600,-1000,0,1000,1000,-1000,0,1000,1000,1000,900,0,1000,-1000,1000,-1000,1000,-1000,0,-1000,1000,0,1000,-700,1000,1000,-1000,-1000,-1000,1000,200,1000,1000
2012-02-27,-1000,1000,1000,1000,1000,-500,200,1000,-1000,1000,-1000,1000,1000,1000,-1000,-1000,0,-1000,-1000,1000,0,1000,-1000,1000,1000,900,1000,1000,1000,1000,1000,-1000,600,-700,-1000,1000,0,-1000
2012-02-28,1000,-500,-1000,1000,-1000,1000,-200,-1000,0,1000,-1000,-1000,-1000,-1000,1000,-1000,0,1000,-100,-800,1000,-300,1000,-1000,1000,-300,-1000,-1000,-1000,600,1000,0,0,1000,-900,-500,1000,1000
2012-02-29,-1000,1000,1000,-1000,0,-1000,1000,0,1000,-1000,1000,0,1000,1000,-1000,-1000,1000,-1000,0,1000,-1000,-1000,-200,0,1000,-600,0,-1000,0,-1000,1000,1000,-1000,-1000,-1000,1000,-1000,-1000
2012-03-01,-1000,1000,1000,1000,0,1000,-1000,0,1000,1000,700,1000,1000,-1000,-900,-200,-1000,100,0,1000,0,-1000,1000,1000,1000,-1000,0,-500,0,-1000,1000,-1000,1000,0,1000,1000,1000,1000
2012-03-02,1000,-1000,800,-1000,0,1000,1000,0,1000,1000,1000,-1000,0,-1000,0,1000,1000,-100,0,700,1000,-100,1000,-1000,-1000,-1000,1000,1000,0,500,1000,1000,1000,1000,1000,-1000,1000,-1000
2012-03-05,1000,0,-900,-1000,0,-1000,-1000,1000,-1000,1000,-1000,0,1000,0,0,-1000,-1000,0,0,1000,-1000,0,-1000,0,-1000,-1000,-800,-1000,0,-1000,1000,1000,1000,-1000,1000,-1000,1000,1000
2012-03-06,-1000,-1000,0,-1000,1000,1000,0,-1000,-1000,1000,200,0,1000,-500,1000,1000,0,0,0,1000,0,0,1000,1000,-600,-300,-200,-1000,1000,-600,1000,-200,-1000,0,1000,-1000,0,-600
2012-03-07,-1000,1000,300,1000,-1000,-1000,0,1000,-1000,1000,-900,0,1000,-600,-1000,1000,0,0,1000,1000,0,1000,1000,-1000,200,0,300,-500,-1000,1000,1000,-1000,-1000,0,-1000,1000,-1000,-1000
2012-03-08,-1000,-1000,-1000,1000,0,700,1000,1000,1000,1000,1000,0,300,1000,1000,-1000,1000,1000,-1000,1000,0,-1000,-700,0,1000,0,1000,1000,0,-1000,-1000,-1000,-900,0,1000,700,-1000,-1000
2012-03-09,-1000,1000,1000,-1000,0,-1000,1000,-1000,-1000,600,-1000,0,-1000,-1000,500,-1000,-1000,1000,0,1000,0,0,1000,1000,1000,0,1000,-1000,0,1000,1000,-1000,-1000,1000,-1000,1000,-1000,1000
2012-03-12,-100,0,1000,-1000,0,1000,1000,1000,800,0,-1000,0,1000,0,1000,-100,0,-1000,0,-1000,0,0,1000,-1000,1000,0,100,0,1000,-1000,1000,1000,1000,-200,1000,1000,1000,1000
2012-03-13,1000,-1000,1000,-1000,0,1000,-1000,-1000,0,1000,-1000,600,1000,0,1000,1000,0,-400,0,1000,1000,1000,-1000,0,1000,1000,1000,0,1000,-1000,1000,-1000,-1000,-800,-1000,1000,1000,1000
2012-03-14,-1000,1000,1000,-1000,0,-100,1000,1000,-800,-1000,-900,-600,1000,0,1000,-1000,0,-600,0,-1000,-1000,500,1000,0,1000,-1000,-1000,0,-1000,-1000,1000,1000,-1000,0,-200,0,1000,0
2012-03-15,1000,-1000,200,1000,0,1000,1000,-1000,0,-1000,1000,1000,1000,1000,1000,200,600,1000,1000,1000,0,-1000,1000,0,-1000,1000,-1000,0,-600,-1000,-1000,1000,-1000,0,1000,-1000,800,1000
2012-03-16,1000,300,1000,700,1000,1000,1000,700,1000,700,1000,900,-1000,1000,1000,1000,-600,1000,-1000,1000,0,-500,1000,1000,-1000,-1000,-1000,0,-400,-1000,1000,-1000,1000,0,-1000,400,-1000,1000
2012-03-19,1000,-500,-1000,-1000,100,-1000,-900,-1000,-1000,-1000,1000,-1000,1000,-1000,-700,1000,0,1000,0,-700,1000,0,-1000,-1000,1000,0,200,0,0,1000,1000,-1000,-1000,0,1000,-1000,-1000,1000
2012-03-20,1000,1000,-1000,-1000,-1000,1000,-1000,400,0,1000,-1000,-900,1000,1000,1000,1000,0,1000,0,1000,1000,0,-200,1000,700,1000,-600,0,0,1000,-1000,-700,1000,1000,1000,1000,1000,-1000
2012-03-21,-1000,-1000,0,-700,1000,1000,-1000,1000,1000,-1000,1000,1000,1000,100,-1000,1000,0,1000,0,1000,-1000,1000,600,1000,-1000,-1000,1000,0,0,-900,1000,100,1000,-1000,-1000,-1000,1000,1000
2012-03-22,-1000,1000,1000,0,1000,1000,-800,-1000,-1000,500,1000,100,1000,-1000,1000,1000,0,-1000,0,1000,-1000,1000,1000,-1000,1000,1000,1000,1000,0,300,-1000,-100,-1000,0,1000,-1000,-1000,1000
2012-03-23,1000,1000,1000,1000,-1000,1000,1000,-1000,1000,1000,1000,-1000,1000,-100,1000,-1000,0,-1000,0,-1000,1000,1000,1000,1000,1000,-1000,-1000,0,0,1000,-1000,1000,-1000,1000,1000,-1000,700,1000
2012-03-26,1000,0,-1000,1000,1000,1000,-1000,500,1000,-1000,1000,-100,1000,-1000,-900,1000,0,-1000,0,1000,-400,1000,-1000,-1000,1000,0,-1000,1000,0,1000,1000,1000,-600,1000,-1000,1000,1000,-1000
2012-03-27,1000,1000,-700,1000,-1000,1000,-1000,1000,-1000,-1000,-1000,0,1000,0,600,300,0,1000,0,-1000,1000,1000,1000,-1000,-1000,1000,0,-200,0,-1000,0,1000,0,-1000,1000,1000,-1000,1000
2012-03-28,-500,1000,-1000,-1000,-1000,-1000,-300,-1000,1000,1000,1000,0,1000,400,-1000,1000,0,-1000,0,-1000,-500,-900,1000,0,-1000,-1000,1000,1000,0,1000,1000,-1000,0,-1000,-1000,1000,-1000,1000
2012-03-29,0,-1000,1000,1000,-100,1000,1000,-600,-1000,1000,1000,0,1000,-400,-1000,-1000,0,-1000,0,1000,-1000,1000,-1000,0,-1000,0,-1000,-1000,0,1000,1000,-1000,0,1000,1000,-1000,-1000,1000
2012-03-30,-1000,-1000,-1000,-1000,0,-1000,-100,0,-1000,400,-1000,1000,1000,0,1000,300,0,-1000,0,-1000,-100,-1000,1000,1000,-1000,1000,0,-1000,1000,1000,1000,1000,1000,1000,-1000,-1000,-1000,-1000
2012-04-05,-1000,1000,1000,-1000,0,-1000,700,800,0,-1000,1000,-600,1000,0,-200,-1000,0,0,0,1000,0,1000,-1000,-1000,1000,0,0,-800,-1000,-100,1000,-400,-1000,-400,1000,-1000,-1000,-1000
2012-04-06,1000,-1000,-1000,-1000,0,-1000,1000,-800,0,-1000,200,-400,-1000,1000,-700,1000,500,0,0,1000,0,-1000,900,0,-1000,-1000,1000,0,1000,1000,1000,-1000,800,300,1000,1000,1000,1000
2012-04-09,1000,1000,700,700,0,1000,-1000,0,0,-800,-1000,1000,1000,700,-1000,1000,-500,0,0,1000,0,-300,1000,0,-1000,0,-1000,0,1000,1000,-1000,1000,300,-1000,-1000,400,-1000,1000
2012-04-10,-1000,-1000,-1000,900,0,-1000,1000,1000,1000,600,1000,1000,1000,1000,-1000,1000,0,1000,0,800,0,1000,1000,0,-1000,0,0,0,-1000,1000,1000,1000,1000,-900,1000,1000,-1000,1000
2012-04-12,-1000,-1000,1000,1000,1000,1000,1000,-100,-200,-1000,1000,500,1000,600,1000,1000,0,-1000,0,1000,0,1000,700,1000,1000,1000,0,0,-1000,-1000,0,-500,-1000,1000,1000,-1000,1000,800
2012-04-13,-400,1000,-600,-1000,-600,1000,-100,-900,200,1000,1000,-1000,1000,-1000,1000,1000,500,0,1000,-1000,0,-1000,-200,1000,1000,1000,1000,1000,0,-1000,1000,1000,-500,-1000,1000,-1000,1000,1000
2012-04-16,1000,1000,-1000,1000,1000,1000,-1000,1000,1000,-1000,1000,-1000,1000,-1000,-1000,-1000,1000,0,-1000,1000,0,1000,-1000,-1000,1000,-1000,-1000,1000,0,1000,-1000,-1000,-600,1000,1000,1000,1000,1000
2012-04-17,-500,-1000,-1000,1000,-1000,-1000,-1000,-1000,100,-1000,-1000,1000,1000,-1000,-1000,1000,-1000,0,0,1000,1000,-1000,-1000,-1000,-1000,-1000,0,-1000,0,800,-1000,1000,300,100,1000,-1000,1000,-1000
2012-04-18,1000,-1000,1000,-1000,1000,1000,-100,1000,1000,-600,-1000,1000,1000,1000,-1000,1000,-500,1000,0,1000,-1000,1000,-1000,0,-1000,1000,0,-1000,1000,1000,-1000,-1000,1000,-800,1000,1000,1000,1000
2012-04-19,1000,1000,-1000,300,-1000,1000,1000,1000,-1000,-1000,1000,1000,1000,100,-1000,1000,0,-1000,0,1000,0,300,-1000,1000,-1000,-1000,1000,0,-1000,1000,1000,-400,-1000,-300,-1000,1000,1000,-1000
2012-04-20,1000,-1000,700,-1000,-400,1000,-1000,1000,-1000,1000,1000,1000,1000,-1000,700,-1000,1000,1000,0,1000,1000,-1000,1000,-1000,-1000,0,1000,0,1000,-1000,1000,1000,-300,1000,1000,1000,1000,-1000
2012-04-23,1000,-1000,-1000,-1000,0,1000,1000,1000,-1000,1000,-1000,-1000,1000,1000,1000,1000,1000,-300,1000,1000,-1000,1000,-1000,1000,-1000,0,-1000,1000,1000,1000,1000,1000,0,-1000,1000,1000,-1000,-900
2012-04-24,1000,-800,-1000,1000,0,-1000,-1000,-1000,1000,-600,1000,-1000,1000,1000,1000,1000,1000,500,-1000,1000,0,1000,-900,-1000,1000,0,1000,-1000,-1000,-200,1000,1000,0,1000,1000,1000,-1000,1000
2012-04-25,-1000,-1000,1000,-1000,0,-300,1000,-1000,-1000,100,1000,-100,1000,-1000,1000,1000,1000,-1000,0,-1000,0,-1000,-100,0,-1000,0,-1000,0,1000,-1000,1000,-1000,1000,-1000,1000,1000,-1000,1000
2012-04-26,1000,-500,1000,-900,0,1000,-1000,1000,1000,1000,-1000,-1000,1000,-1000,1000,-1000,-1000,1000,0,-1000,0,1000,1000,0,-1000,1000,1000,1000,1000,700,1000,-1000,1000,0,1000,1000,1000,800
